h;x;y;pressure;temperature;Q;An;Bi;CPx;Ol;Amf;OPx;Alb;Ort;Gr
4;171,62;49,16;0,1036;53,2;0,021286894;0,602479483;0,000563029;2,30E-05;0,003878255;3,66E-05;0,000220678;0,092924552;0,000112236;0,278475222
6;171,62;49,16;0,1555;93,1;0,000638921;0,059014266;0,00106995;0,886190918;0,000335116;7,67E-05;0,051583587;0,000252607;5,57E-05;0,000782211
8;171,62;49,16;0,2076;146;0,032740993;0,211340003;0,003517311;0,592504095;0,003662354;0,00532504;0,000446429;0,000911583;0,149319635;0,000232557
10;171,62;49,16;0,2599;200;0,037446532;0,003935501;0,292097751;0,01778192;0,019448203;0,00079143;0,114949715;0,125830108;0,000277231;0,38744161
12;171,62;49,16;0,3124;245,04;0,000740099;0,002275575;0,963256242;0,000136941;0,001660929;0,005635476;5,18E-06;0,000445474;0,000262536;0,025581546
14;171,62;49,16;0,3654;281,764;0,003653721;0,304225604;0,003639871;5,69E-05;0,05634192;0,008795138;0,249558134;0,04982357;0,300761125;0,023144053
16;171,62;49,16;0,4186;313,28;0,006629299;0,001009669;0,357302193;0,005249407;0,009458874;0,022905117;0,002425734;0,352940441;0,00191106;0,240168206
2;169,63;49,14;0,0518;28,65;0,239344268;0,000977256;0,114269105;0,0016594;0,263406144;0,000324407;0,002379456;0,005488518;0,000378918;0,371772528
4;169,63;49,14;0,1036;53,2;0,020346348;0,000377699;0,073578098;0,05013438;0,000358801;0,002229617;0,000182774;0,847788351;1,50E-05;0,004988934
6;169,63;49,14;0,1555;93,1;0,362639775;5,58E-06;3,14E-05;0,294464495;0,185263885;0,000314847;0,064177941;3,71E-06;0,000821138;0,092277256
8;169,63;49,14;0,2076;146;2,29E-05;0,139972252;0,000226401;0,602004169;9,75E-06;0,000126882;7,65E-06;0,242554803;0,012361444;0,002713791
10;169,63;49,14;0,2599;200;0,01620902;0,041180431;0,113851516;0,051059783;0,001274714;0,174602093;0,011225296;0,00033009;0,004058017;0,58620904
12;169,63;49,14;0,3124;245,04;0,005713926;0,005522125;0,106563341;0,002634546;0,051949926;0,001919218;0,192396257;0,62210233;0,000415382;0,010782948
14;169,63;49,14;0,3654;281,764;0,01958337;0,227946328;0,027805796;0,016077087;0,007844053;0,356413114;0,054134155;0,175614703;0,105388829;0,009192565
16;169,63;49,14;0,4186;313,28;0,000687512;0,930196616;8,43E-05;0,007782135;0,001901156;0,024811864;0,000155551;0,008243782;1,41E-05;0,026122972
2;167,64;49,12;0,0518;28,65;0,009551417;0,117521922;0,023082805;0,000675781;0,101183678;0,726537601;0,002487537;0,00436614;0,013283211;0,00130991
4;167,64;49,12;0,1036;53,2;0,011339314;0,139653426;0,012247005;0,001980376;0,639219082;0,010484784;0,007844029;0,003134628;0,017183401;0,156913954
6;167,64;49,12;0,1555;93,1;0,035972392;0,017454056;0,001165106;0,008446418;0,003481695;0,001392295;0,304450375;0,396528149;0,223575853;0,007533662
8;167,64;49,12;0,2076;146;0,037283712;0,001072544;0,381272939;0,002368259;0,172084248;0,325216843;0,000479834;0,069095397;0,009192245;0,00193398
10;167,64;49,12;0,2599;200;0,161412558;0,011423411;6,59E-06;1,54E-05;0,056859192;0,158611379;0,000141243;1,26E-06;0,61150868;2,02E-05
12;167,64;49,12;0,3124;245,04;0,004536173;0,00549588;0,002231393;0,053105252;0,001423043;0,001186074;0,734057702;0,005819369;0,190472617;0,001672498
14;167,64;49,12;0,3654;281,764;0,815314523;0,025538668;0,001598442;0,124236269;0,019239469;0,003132891;0,001090047;0,000196417;0,003519779;0,006133494
16;167,64;49,12;0,4186;313,28;0,001818735;0,008683961;0,792634038;0,047977603;0,000136574;0,000140638;0,007208606;0,140944601;1,82E-06;0,000453424
2;165,65;49,1;0,0518;28,65;0,249350697;0,009939952;0,115958203;0,002967671;0,008263721;0,155110347;0,369429481;0,028360001;0,060203717;0,000416211
