h;x;y;Vp;Vpcalc;Vscalc;Ro
4;118,73;80,07;6,66;4,796097788;2,721720933;2,927784315
6;118,73;80,07;6,7;6,564445913;3,751052045;3,209494399
8;118,73;80,07;6,74;3,410699149;1,823127228;3,003599105
0;118,73;80,07;6,78;10,79031493;5,709686697;2,925599371
2;118,73;80,07;6,84;6,704332493;3,804757873;2,971735231
4;118,73;80,07;6,86;3,065936639;1,74435643;3,007781719
6;118,73;80,07;6,94;4,579317738;2,72318425;2,95270573
8;118,73;80,07;6,99;5,784453028;3,503955549;3,54890795
2;119,1;78,1;6,25;6,336952292;3,666375488;3,263167539
4;119,1;78,1;6,33;13,08669129;6,832922129;3,073196935
5;119,1;78,1;6,1;6,07558482;3,297617597;2,8560582
6;119,1;78,1;6,15;14,94833047;7,643705808;3,127995378
8;119,1;78,1;6,26;4,970749967;3,121711603;2,75397839
0;119,1;78,1;6,34;4,233285096;2,33795277;3,012174398
6;119,1;78,1;6,5;5,256910261;3,286043761;2,718852917
8;119,1;78,1;6,54;2,487272927;1,469294961;2,620411346
0;119,1;78,1;6,59;47,62084367;13,41311636;3,427559564
2;119,1;78,1;6,63;5,424666516;3,222729009;3,258588975
4;119,1;78,1;6,67;8,990040763;4,938155841;3,046708902
6;119,1;78,1;6,71;6,19900068;3,80640518;3,387461436
0;119,1;78,1;6,79;16,85077688;9,171925328;2,91072172
2;119,1;78,1;6,84;9,818676978;5,597945598;3,15228254
4;119,1;78,1;6,88;6,560864201;3,587807065;2,898653605
6;119,1;78,1;6,93;13,91694685;7,480092708;3,011293324
8;119,1;78,1;6,98;6,392010053;3,704657672;3,176275345
1;119,47;76,13;6,18;5,025598852;2,978470164;3,13305666
2;119,47;76,13;6,25;24,80278221;12,1660988;3,183135055
3;119,47;76,13;6,31;2,928315733;1,558809442;2,969911284
4;119,47;76,13;6,33;6,060563687;3,465586757;3,06040718
5;119,47;76,13;6,1;5,12026184;3,074668193;2,94590736
6;119,47;76,13;6,15;3,384120756;2,546228797;2,70076597
8;119,47;76,13;6,26;4,68571955;2,672215108;3,003903397
0;119,47;76,13;6,34;7,104198652;3,926057295;3,026012977
2;119,47;76,13;6,4;5,43769556;3,328451803;2,982637957
4;119,47;76,13;6,45;5,23680812;3,048382888;3,070822478
6;119,47;76,13;6,5;3,723584175;2,099996722;2,692973515
8;119,47;76,13;6,54;5,31703157;2,996516544;2,988672444
